,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"New York--Newark, NY--NJ--CT",23566.080369549185,68.37946259040407,42.226586826209534,5.259105653489063,2.2705212505028807,0.0,29.95690629444534,213.26898281614064,37.8297248903538,309.38269624455603,240.82888727265228,416.83956389448576,215.7375034221834,167.63901646128832,288.8610607243006,123.46038873915133,54.90657976724759,230.91725638908107,0.26626196477950936,0.06656199390377364,0.535259152072888,18351295,17799861,27.34667531073595,1.4506689728589137,1.1292260322743277,1.9545250246438484,1.685890266842509e-05
"Detroit, MI",9438.323246715427,56.61659789148618,6.394872916451814,9.025156019463461,1.4103113337287847,0.0,5.726125637103557,93.53349212774829,8.795973787692462,210.18444591568826,169.79181316069008,258.9692708376304,185.90045924479654,151.70924811040868,229.02173398114962,122.215408329762,81.82277557476382,171.00023325170415,0.32071084547038764,0.1625836646316684,0.5487730897665426,3734090,3903377,5.564454541822036,2.2471570464686357,1.815304970424797,2.7687330489481723,5.628799678521092e-05
"Atlanta, GA",18246.831833830962,53.807343246989724,3.120247555933455,10.334144732852963,11.665973053670273,0.0,4.825487434791966,95.0510434367214,4.569074468397719,179.33309443343109,156.8787422240863,208.08082485608105,136.62976817227613,118.88916806938087,160.0228913142064,91.010823940795,68.5564717314502,119.75855436344496,0.47521791414520725,0.3499521797704796,0.6295147693124301,4515419,3499840,6.72877294408531,1.8867030592128011,1.6504683857418738,2.189148244275796,3.971571507172005e-05
"Dallas--Fort Worth--Arlington, TX",12557.526559850365,69.32768419867828,12.316294108227755,125.21004036298984,14.615795674501037,0.0,5.297742263764056,251.80802887393162,17.40794728589015,362.1509724082906,337.27890586862316,384.38517866482357,124.06470933562935,106.19744132555414,132.3153936407853,117.97546851423951,93.10340197457202,140.20967477077244,0.5024097040009382,0.3596435847351028,0.7049730280454958,5121892,4145659,7.632524979880492,1.4382026420198164,1.3394287202711983,1.5265008839621514,7.070648354324742e-05
"Houston, TX",13618.222410995624,44.94831488975005,5.6717112015155795,22.12343500971328,24.47638456823318,0.0,22.996233559980485,142.9329860774953,15.348977673141956,209.03301491620877,182.98336465472352,236.26203843011922,112.93976386818727,94.74267750784541,131.31296376377117,73.46795801387424,47.41830775238898,100.69698152778469,0.3457479655127107,0.23313601590434302,0.5004941049585392,4944332,3822509,7.367929175160756,1.4624546835037466,1.2802038890834742,1.6529567100908593,4.2277301547753824e-05
"Chicago, IL--IN",15222.582703422631,74.33481180867922,22.726136030213194,9.392164361834224,8.59715443654362,0.0,14.684321462936179,158.43602842945734,15.87368789089275,207.46684032942056,189.66720139812534,223.62032547880824,100.54762930530184,88.61465752515369,109.85813972540991,61.85856433832136,44.05892540702615,78.01204948770905,0.36769319160243075,0.2066124861559108,0.5813093443798125,8608208,8307904,12.827752438358148,1.3094675648335496,1.1971216602578088,1.411423447655871,2.4101048711813254e-05
"Los Angeles--Long Beach--Anaheim, CA",8876.802533964546,112.54711647137114,12.714462476524242,10.9245409470564,4.670892778986697,0.0,14.740193282673872,188.42072658910257,14.716387467552735,120.55882112742,115.64936633799277,127.45066723778567,96.90913296137066,92.25699703957314,109.10528728152434,-49.754772296745095,-54.66422708617233,-42.86292618637944,0.7473669511937019,0.6388552396794991,0.8729500483655739,12150996,11789487,18.10713316493748,0.6398384260046295,0.6137826152756245,0.6764153261956313,9.921723381969675e-06
"Cincinnati, OH--KY--IN",7481.945129993883,41.80539853459047,12.752623735114302,0.1699311779581401,5.397951578012996,0.0,2.871084569044221,68.90532753820735,3.48705833324079,97.6359501094055,85.08467128150336,109.30206768872002,88.72935998863647,76.6969626604956,99.62885232463665,31.151902181444584,18.600623353542446,42.8180197607591,0.4525499501997898,0.2446993730558351,0.7442024988462774,1624827,1503262,2.421279610246425,1.4169579276038895,1.2348054108635464,1.5862643948410675,6.0090058885903236e-05
"Miami, FL",12226.177172975531,73.32460278659012,8.975827573076668,0.3512748224611585,1.3490710390923633,0.0,10.745939547372261,105.76322934598204,2.8169956714535482,283.5242842940818,205.8125938101438,394.98066277878956,88.18873129903243,68.35528127678482,115.85762969753823,185.9605728540356,108.24888237009766,297.41695133874344,0.2451152144871104,0.12459446397801245,0.4255037876078966,5502379,4919036,8.1995179059359,2.6807453407704864,1.9459749393323782,3.734574532389644,5.152758185033815e-05
"Philadelphia, PA--NJ--DE--MD",11623.378703838112,31.83723167786109,10.860940259185389,5.244256028118731,14.410443536352762,0.0,10.581129467499485,95.8114646290095,14.768566389765857,121.76839425647455,107.78779944460207,132.36237172308685,81.75509979895591,72.61003440242436,88.63864074950779,34.06582689769124,20.08523208581876,44.65980436430354,0.2237799231013012,0.08234876898096809,0.4064208676470322,5441567,5149079,8.108897270226189,1.2709167397447954,1.1249989744125715,1.3814878233581513,2.2377450145605953e-05
