sector,subsector,mean_MMTCO2,minus_MMTCO2,plus_MMTCO2,mean_MMTCO2_2022,mean_all,minus,plus,AK_2022,AK_2023,HI_2022,HI_2023,mean
livestock,enteric_fermentation,197.3,21.703,35.514,176.1,7.046428571,0.775107143,1.268357143,0.001340882,0.001501788,0.010180721,0.011402408,7.033524375
livestock,manure_management,65.7,11.826,13.14,58.7,2.346428571,0.422357143,0.469285714,2.80E-05,3.14E-05,0.000535622,0.000599896,2.345797272
ong,natural_gas_systems,193.6,32.912,32.912,172.2,6.914285714,1.175428571,1.175428571,0.01847312,0.019627455,0.00057968,0.000640171,6.894018087
ong,abandoned_wells,8.3,6.972,14.94,7,0.296428571,0.249,0.533571429,0.0002033,0.000210368,0,0,0.296218203
ong,petroleum_systems,59.9,5.99,8.985,40.4,2.139285714,0.213928571,0.320892857,0.02667282,0.024966077,0.000027603,3.09E-05,2.114288717
landfills,landfills,129,24.51,33.54,113.6,4.607142857,0.875357143,1.197857143,0.01921227,0.021615467,0.01359549,0.015684756,4.569842633
coal,coal_mining,53,5.3,11.13,47.4,1.892857143,0.189285714,0.3975,0.00054817,0,0,0,1.892857143
coal,abandoned_coal,6.6,1.452,1.386,5.9,0.235714286,0.051857143,0.0495,0,0.000613945,0,0,0.235100341
wastewater,wastewater,21.2,6.148,6.784,18.1,0.757142857,0.219571429,0.242285714,0.00107891,0.000919061,0.00205428,0.003226454,0.752997342
other_anth,rice,16.9,12.675,12.675,15.1,0.603571429,0.452678571,0.452678571,0,0,0,0,0.603571429
other_anth,stationary_combustion,9.8,3.332,12.446,8.8,0.35,0.119,0.4445,0.00257479,0.002887521,0.00012067,0.000135181,0.346977298
other_anth,mobile_combustion,2.9,0.116,0.841,2.5,0.103571429,0.004142857,0.030035714,0.00037682,0.000437629,0.00070629,0.00081226,0.10232154
other_anth,field_burning,0.5,0.08,0.08,0.4,0.017857143,0.002857143,0.002857143,0,0,0,0,0.017857143
other_anth,petrochemical_production,0.4,0.232,0.192,0.3,0.014285714,0.008285714,0.006857143,0,0,0,0,0.014285714
other_anth,anaroebic_digestion,0.2,0.108,0.108,0.2,0.007142857,0.003857143,0.003857143,0,0,0,0,0.007142857
other_anth,composting,2.5,1.45,1.45,2.3,0.089285714,0.051785714,0.051785714,0,0,0,0,0.089285714
