,area,prior_other_anth,prior_wastewater,prior_coal,prior_landfills,prior_livestock,prior_ong,prior_total,post_other_anth,post_wastewater,post_coal,post_landfills,post_livestock,post_ong,post_mean,post_min,post_max,xhat_mean,xhat_min,xhat_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop,epa_total,epa_livestock,epa_ong,epa_coal,epa_landfills,epa_wastewater,epa_other_anth,post_mean_pc
Texas,696300.8419092306,85.29888374140747,44.322858942457664,17.010353253623833,480.2339094167249,977.2405569791457,3545.5613015578383,5149.667863891199,109.9678797540878,48.2561767649045,24.38052147350897,627.045282800331,1165.0829733127312,4298.907326326459,6273.640160432022,6100.929617031402,6453.547867409574,1.2182611240662666,1.184722933261449,1.253196912496243,1123.9722965408228,951.2617531402029,1303.880003518375,0.9356115513018832,0.9060615181672144,0.967811023448132,28995881,3969.8564464285714,1023.1383160714284,2270.191301785714,9.011417392857144,512.6448289285714,60.87460542857143,93.99597753571429,0.0002163631503533906
California,419528.14195896604,137.85350493356844,50.92273186022485,0.0,507.9083947556793,877.0898038695294,190.6793946170258,1764.4538300360277,148.3625173708798,57.87732531906595,0.0,514.2639449737097,1103.6421046425191,230.79056996985972,2054.9364622760345,1969.735477147509,2122.2114655775204,1.1646303390290895,1.1163428839094587,1.2027582867012099,290.48263224000675,205.28164711148133,357.7576355414926,0.8479438740219654,0.7637807520600127,0.927999947132384,39512223,1623.3237410714287,759.6057914285715,231.03068728571427,0.0,356.2182496785714,58.94435835714286,217.52465432142859,5.200761451149014e-05
Oklahoma,181251.38394315104,5.6667192569985865,3.0047687391042346,13.151821065227196,107.8410096953969,333.3224255661878,635.5216441973039,1098.5083885202184,6.368789530240066,3.145512676599843,20.414922931297266,120.7895675954791,399.1722498099602,894.150066330685,1444.0411088742612,1384.1839773591262,1510.8432981881465,1.3145471841316605,1.260057721747338,1.3753589084771372,345.5327203540429,285.67558883890774,412.33490966792806,0.8555709584318124,0.7902742093134949,0.9231710287935994,3956971,1247.5756325,379.69665142857144,762.6561796428572,3.3555355,86.37134567857143,8.809763321428571,6.686156928571427,0.0003649359848415015
Pennsylvania,119030.7387394256,16.476768073446564,16.175389046505593,460.75425524034426,130.5592667023622,164.8351264537236,408.64133449578185,1197.4421400121644,20.25930032798937,19.738841741146373,524.417996901672,196.34427973380443,195.53427327707786,237.73477374557262,1194.0294657272627,1060.9207141762272,1383.582755359202,0.9971500299088631,0.885989125257818,1.1554485257593714,-3.4126742849015557,-136.52142583593718,186.14061534703774,0.5491283612038405,0.3802800666432359,0.7740673583626201,12801989,1629.3658660714286,198.78206607142857,776.8605821428572,497.847495,110.30514510714286,23.721975892857145,21.84860185714286,9.326905887259102e-05
New Mexico,315381.7373967215,3.7374411722330243,2.0513615977798354,39.01626875341124,63.63527838243073,213.21449304342028,945.5573767704108,1267.212219719686,3.322836614827103,1.5910243644114561,32.050109741330424,-34.08421183401449,211.02449903763323,924.8567970750977,1138.7610549992855,1099.83389356946,1180.178138324599,0.8986348436974397,0.8679161047016649,0.9313184642313983,-128.45116472040033,-167.3783261502258,-87.03408139508679,0.9547981008686864,0.9329132982515154,0.9775818378524797,2096829,729.3639885714285,169.67807424999998,486.6387492857143,28.41927057142857,34.388731785714285,3.818069928571429,6.4210925,0.0005430872307657351
Louisiana,134788.45474039027,114.25120742970681,7.140662235512861,1.5288317638311584,103.69610780189979,63.01500294861466,430.8927194621358,720.5245316417012,173.9587266317858,9.035761026804087,1.732740065297591,126.33865540446305,79.02470151841187,730.731083472812,1120.8216681195745,1010.1670667301531,1257.6600936101959,1.5555635081095769,1.4019884436529968,1.7454785206891454,400.29713647787327,289.64253508845195,537.1355619684947,0.5469544261915322,0.3691480151218449,0.7599199584360635,4648794,951.330845,61.6706105,627.6054049999999,0.6901389642857143,132.51324535714286,10.102902607142857,118.74854232142857,0.00024109944818367397
Iowa,145701.02160256458,5.20908649884889,7.582097387810873,0.0,71.73463028981526,621.2361702468586,37.00619069496034,742.768175118294,7.415128787847972,12.966711119269583,0.0,116.43266462864035,792.8810203167911,59.063531487134576,988.7590563396834,951.9677287330936,1010.4770350130059,1.3311812345516993,1.281648515139306,1.3604204768898132,245.99088122138937,209.19955361479958,267.70885989471185,0.7350228537801395,0.5895323477745071,0.8756845651792081,3155070,706.5804746428571,555.4152796428571,56.86615464285715,0.0,64.69629957142857,23.716033250000002,5.886707321428571,0.00031338735950063975
Illinois,147590.18468178855,16.659254802832482,28.06135558129466,209.4688957375368,236.7583511742662,153.2251996493747,86.81431574279617,730.9873726881009,20.710458958377778,36.60858896058936,169.83891794362236,367.5208774676756,191.21044333387576,121.05212151056766,906.9414081747085,861.9153163009707,944.0060827931413,1.2407073529048278,1.1791110879677733,1.2914122980287537,175.9540354866076,130.92794361286985,213.01871010504044,0.531307021366498,0.3279510195125012,0.7856047675201906,12671821,630.1698885714285,159.630969,139.9969299642857,125.62597696428571,162.35950321428572,25.07021810714286,17.486291392857144,7.157151353185217e-05
Florida,163019.46719441775,30.449915257277294,10.704083725518215,0.0,297.3649584935237,163.67430766970972,18.466819512775164,520.6600846588042,46.55202085426877,15.324847724632951,0.0,540.4162318723702,249.97944252352102,25.699834458563092,877.972377433356,699.3213912806084,1106.0056972170516,1.6862678805284326,1.3431438512112628,2.12423753962594,357.3122927745518,178.66130662180421,585.3456125582475,0.33701899785643674,0.142425605385539,0.5778008261295717,21477737,584.0470703571428,154.64634096428574,56.38470253571428,0.0,312.9854715357143,37.76182428571428,22.26873096428572,4.0878253487942236e-05
Kansas,213215.026879358,4.280192625678252,10.825072247611171,0.29075626543293964,84.48084602279839,440.1456300896507,338.2108660512269,878.2333633023982,3.1584693908271864,9.014974894621332,0.08293701460818927,40.576366326111405,448.4457366024882,358.27488257082865,859.5533667994848,838.7825153636827,887.6019832812818,0.9787300308967182,0.955079310821933,1.0106675746679163,-18.679996502913255,-39.45084793871547,9.368619978883657,0.7851064661370034,0.6896643891101724,0.8883491669380895,2913314,998.5729667857142,490.42695,428.828265,0.0,54.902161428571425,19.38324407142857,5.032346535714287,0.00029504315937090367
Colorado,269719.01070513786,6.090496964410903,4.2100817387213905,175.98059349166385,112.83088122880767,254.91433889243498,375.87881693800756,929.9052092540462,5.240868235783124,3.7403009758207086,102.02377153818033,110.02962409194656,232.1151224210278,350.62172321008336,803.7714104728416,740.2053859819974,861.2770155705027,0.8643584340361026,0.7960009026896164,0.9261987211163213,-126.13379878120453,-189.69982327204877,-68.62819368354349,0.565669296907019,0.4468629782149287,0.7108176475524445,5758736,890.8026489285714,262.84391592857145,464.8067610714285,65.01660532142857,73.76365789285713,14.098240285714285,10.273468178571427,0.00013957427645108953
Michigan,175539.17242573565,16.28976209051688,11.493590534508845,0.0,267.6204293385484,160.22136712568766,112.68999696754054,568.3151460568023,22.282923043140034,18.915477791434434,0.0,392.41226207367214,187.07800011193933,121.40267352637197,742.0913365465578,674.324283432037,813.2376903789259,1.3057743431535904,1.1865323106568044,1.43096254960209,173.7761904897556,106.00913737523467,244.9225443221236,0.48012677900895767,0.2520220840929638,0.7422809830598684,9986857,557.0094546428571,181.54699739285715,127.13154239285716,0.0,197.42778167857145,23.38657189285714,27.51656142857143,7.430679507542342e-05
Alabama,136013.08515321274,10.155665389371135,21.08860938789306,164.76646201660577,237.8323848014904,101.69161854857568,113.04343022368565,648.5781703676215,10.500529015994468,25.072729691510485,153.69349758064968,259.0021852154308,108.66510476916037,119.5895287552501,676.5235750279959,628.9957074575349,716.6958590086911,1.0430871804466293,0.9698070890992414,1.1050261815047824,27.945404660374393,-19.582462910086633,68.11768864106955,0.7305139266544705,0.5861180365089061,0.8931790693136169,4903185,591.5672253571429,101.74348857142857,108.07697771428572,183.46791682142856,168.79780885714288,19.42681417857143,10.054219178571428,0.0001379763510917895
North Carolina,133657.47415158007,11.486436279702156,123.1890476324013,0.0,182.5175625825147,252.4016268822969,23.902610856129456,593.4972842330445,13.168518018451977,16.892270525714785,0.0,225.3406104137403,375.1051337208657,23.49859692661605,654.0051296053889,547.4233501785628,744.4934726754094,1.1019513432998038,0.9223687533566032,1.2544176569190066,60.50784537234435,-46.0739340544817,150.99618844236488,0.45441054273582826,0.2794269339975029,0.7046429495515824,10488084,537.8745921428572,265.61441789285715,41.21260371428571,0.0,186.57082564285716,32.47926982142857,11.99747517857143,6.235696907131836e-05
Ohio,111336.73494681511,16.282971635672002,22.02924685306612,94.24898878233701,251.78973940109128,143.43577084844998,195.4983643336853,723.2850818543018,16.06296200162072,24.34711441410061,32.38847624607931,243.50773197136118,146.00938549423597,159.63068973916313,621.9463598665609,577.9754497428704,673.4294201184903,0.8598910380842688,0.799097706067851,0.9310705239378152,-101.33872198774091,-145.30963211143137,-49.85566173581151,0.6106395794483126,0.4281544071029269,0.8247452634425991,11689100,747.422840357143,165.42423267857146,326.89101089285714,29.573503857142857,189.00143946428568,18.829527142857145,17.703126285714287,5.320737780210289e-05
Indiana,94346.70099587312,11.161207851220242,9.954474343485284,81.99967308282349,163.19223126781773,126.73307353210993,44.92080311792493,437.96146319538167,15.823469423611966,16.663720778224388,79.47073298624932,274.4536149645488,169.82441903396023,60.25001994730133,616.4859771338961,561.3974232879788,676.0847220962038,1.40762607887003,1.2818420579564334,1.5437082458430629,178.52451393851447,123.4359600925971,238.12325890082212,0.5160640259278859,0.3371611870800141,0.7264904449385093,6732219,499.94639892857145,140.45805717857144,83.21589560714285,131.89794874999998,116.59392442857141,15.113925607142859,12.666647428571428,9.157247812851841e-05
Nebraska,200297.47578692654,3.285349914729512,5.4452710513316065,0.0,40.63854132175665,479.63331500082955,21.959664885380608,550.9621421740279,3.457818929684513,4.826024658085688,0.0,45.72620040617311,532.7640664731471,24.355524587215356,611.1296350543057,603.7716224162797,619.4868539457599,1.109204404939447,1.0958495624288669,1.1243728135318736,60.16749288027779,52.809480242251766,68.52471177173197,0.6323272169751426,0.5370646700544325,0.7188055762576738,1934408,650.2864792857143,531.4369485714285,45.39905914285714,0.0,47.46127682142858,21.732771785714288,4.2564230357142865,0.0003159259241350872
West Virginia,62787.37755414462,6.258577584154038,2.122317256487776,815.6470975302851,48.75596086893075,30.507918065290223,239.9519284265172,1143.2437997316654,4.464062967509321,1.7382930400458898,360.49745927486185,32.28230598254262,25.943982337197294,182.06416687342372,606.9902704755805,484.713602970327,730.1680744878885,0.5309368575784529,0.4239809593405149,0.6386809835830893,-536.2535292560848,-658.5301967613384,-413.0757252437769,0.6421090993942599,0.4928779797301598,0.8348492584519543,1792147,943.7094278571428,28.053739071428577,297.9853055714286,578.5756757142858,30.167295214285712,4.1977968571428566,4.729615321428572,0.00033869446561893664
Arkansas,137917.37424069407,188.80067654939717,8.23252421497,8.800952065654396,92.66556012192598,123.5000257024322,105.23082312298757,527.2305617773673,218.00233773086094,10.480905442541935,13.421572968788366,106.30693793139788,121.82403958366193,134.48820188846972,604.5239955457207,568.5478613066995,636.4099575666684,1.1466027187570211,1.0783666625660808,1.2070809313884276,77.29343376835358,41.31729952933222,109.17939578930111,0.746402578959936,0.6294773790151569,0.8613790450043578,3017804,607.4883457142856,123.70316296428572,168.59133917857142,0.0,66.04100335714286,16.31253985714286,232.84030028571425,0.0002003191710083626
